epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1007.96,0.51119,0.55107,0.88616,0.82093,0.90263,0.89837,0.78662,0.49708,0.51691,0.88023,5.0752e-05,5.0752e-05,5.0752e-05
42,1032.53,0.51207,0.54555,0.88344,0.82634,0.9318,0.91279,0.80097,0.48956,0.50953,0.87512,4.59208e-05,4.59208e-05,4.59208e-05
43,1057.08,0.50332,0.53129,0.88437,0.84023,0.91142,0.90808,0.79967,0.48977,0.51001,0.87713,4.10896e-05,4.10896e-05,4.10896e-05
44,1081.68,0.49985,0.51605,0.8802,0.83171,0.91561,0.90718,0.80004,0.48976,0.50652,0.8746,3.62584e-05,3.62584e-05,3.62584e-05
45,1106.26,0.49679,0.51966,0.88308,0.82881,0.92477,0.90895,0.80279,0.48532,0.50137,0.87511,3.14272e-05,3.14272e-05,3.14272e-05
46,1130.82,0.49215,0.50874,0.88091,0.83602,0.91848,0.90978,0.80437,0.48309,0.49552,0.87339,2.6596e-05,2.6596e-05,2.6596e-05
47,1155.36,0.48944,0.50576,0.88031,0.83924,0.92198,0.91802,0.80448,0.48701,0.48909,0.87651,2.17648e-05,2.17648e-05,2.17648e-05
48,1179.97,0.48495,0.49965,0.87584,0.85195,0.90144,0.91777,0.8084,0.48399,0.48905,0.87444,1.69336e-05,1.69336e-05,1.69336e-05
49,1204.54,0.48158,0.49555,0.87514,0.85147,0.92241,0.91871,0.8104,0.47882,0.485,0.8708,1.21024e-05,1.21024e-05,1.21024e-05
50,1229.09,0.47929,0.4907,0.8754,0.85739,0.90627,0.91745,0.80562,0.48136,0.48485,0.87211,7.2712e-06,7.2712e-06,7.2712e-06
